"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Sites Tests","","0","0","0","2","0"
"","Sites Tests","New Site Added","0","0","1","0","0"
"","Admin Tests","Addition of Template","0","0","1","0","0"
"","Admin Tests","Delete Hardware Vendor","0","0","1","0","0"
"","Admin Tests","Addition of a portal","0","0","1","0","0"
"","Global Tools","Gaming Device Added","0","0","1","0","0"
"","Admin Tests","","0","0","2","0","0"
"","Admin Tests","Addition or a new user","0","0","1","0","0"
"","Admin Tests","Existing Role is updated","0","0","1","0","0"
"","Admin Tests","T&Cs match on the portal","0","0","2","0","0"
"","Admin Tests","Deletion of a existing user.","0","0","1","0","0"
"","Sites Tests","Add a New Site","0","0","1","0","0"
"","Admin Tests","Log in with a newly created user","0","0","1","0","0"
"","Admin Tests","Existing Role is removed from the system","0","0","1","0","0"
"","Admin Tests","","0","0","0","6","0"
"","Admin Tests","New Management Company","0","0","1","0","0"
"","Admin Tests: Global Tools Tests","","0","0","0","1","0"
"","Admin Tests","Template is updated","0","0","1","0","0"
"","Global Tools","Deletion of Mac Addresses uploaded via Excel File - Import ","0","1","0","0","0"
"","Admin Tests","Delete an existing Management Company","0","0","1","0","0"
"","Admin Tests","Template is deleted","0","0","1","0","0"
"","Admin Tests","Update Hardware Vendor","0","0","1","0","0"
"","Admin Tests","Edit User","0","0","1","0","0"
"","Global Tools","Gaming Device is Updated","0","0","1","0","0"
"","Admin Tests","Create Hardware Vendor","0","0","1","0","0"
"","Global Tools","Uppercase Mac Address Uploads & is removed","0","0","1","0","0"
"","Global Tools","Mac Address is updated - GUI","0","0","1","0","0"
"","Global Tools","Gaming Device Deleted","0","0","1","0","0"
"","Global Tools","Lowercase Mac Address Uploads & displays as Uppercase - GUI","0","0","1","0","0"
"","Sites Tests","Step 3 - Service Details","0","0","1","0","0"
"","Global Tools","Lowercase Mac Address Uploads & displays as Uppercase - Import Function","0","0","1","0","0"
"","Admin Tests","New Brand is added","0","0","1","0","0"
"","Admin Tests: Reports Tests","","0","0","0","1","0"
"","Admin Tests","update an existing Management Company","0","0","1","0","0"
"","Admin Tests","Add a new Network Monitoring Tool","0","0","1","0","0"
"","Admin Tests","New Role is added","0","0","1","0","0"
"","Global Tools","Add a New User","0","0","1","0","0"
"","Admin Tests","T&Cs added & Match","0","0","1","0","0"
"","Sites Tests","Step 2 - Contract Service Billing","0","0","1","0","0"
"","Global Tools","Mac Address is deleted - GUI","0","0","1","0","0"
"","Admin Tests","Logging in of user","0","0","1","0","0"
